"metadata__grand_total_entities","metadata__total_entities","metadata__count","entities__allow_live_migrate","entities__gpus_assigned","entities__description","entities__ha_priority","entities__host_uuid","entities__memory_mb","entities__name","entities__num_cores_per_vcpu","entities__num_vcpus","entities__power_state","entities__timezone","entities__uuid","entities__vm_features__AGENT_VM","entities__vm_logical_timestamp","entities__vm_nics__mac_address","entities__vm_nics__network_uuid","entities__vm_nics__model","entities__vm_nics__requested_ip_address"
"18","0","18","True","False","","0","","1024","KN-clone-KN-test01-171121-143945","1","1","off","UTC","fc68335e-c3ea-4a0b-a84e-e474565b47cf","False","1","","","",""
"","","","True","False","","0","2d06d543-438c-4b33-8500-bf6a930a1d69","1024","KN-test02","1","1","on","UTC","d9fd015a-dce6-4f30-8a00-ae720d2d2009","False","3","","","",""
"","","","True","False","CentOs 6.9 base","0","2d06d543-438c-4b33-8500-bf6a930a1d69","2048","xCOS69-np","1","2","on","UTC","0b4e2f3f-7005-4dca-9d64-67c0294a302a","False","2","50:6b:8d:c6:11:e5","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.34"
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-143754","1","1","off","UTC","2870bf00-12b6-4240-b284-67aa66fa3853","False","1","","","",""
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-143810","1","1","off","UTC","417f3557-5e0c-4949-a248-c2aa056dd2ed","False","1","","","",""
"","","","True","False","CentOs 6.9 base","0","74d5a350-6195-4b00-8e2e-27ce7d0127c1","2048","xCOS69-000","1","2","on","UTC","493de1d4-4577-4cbf-851e-7dd1f990959c","False","6","50:6b:8d:43:3f:7a","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.252.55"
"","","","True","False","CentOs 6.9 base","0","87bbcf7a-2370-47a9-b63c-549bdac05505","2048","xREST-2","1","2","on","UTC","52bd5089-8827-4413-8dee-ba24beac220d","False","2","50:6b:8d:12:dc:ff","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.68"
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-143849","1","1","off","UTC","5b76e2d2-dd8d-45d8-90af-a4d78ae53958","False","1","","","",""
"","","","True","False","","0","2d06d543-438c-4b33-8500-bf6a930a1d69","1024","KN-clone-KN-test01","1","1","on","UTC","5ee2f9d7-6373-41e5-af95-a09403c0234d","False","2","","","",""
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-153303","1","1","off","UTC","5eeb96e4-4d50-418d-a87e-3635286fb61b","False","1","","","",""
"","","","True","False","CentOs 6.9 base","0","74d5a350-6195-4b00-8e2e-27ce7d0127c1","2048","xREST-4","1","2","on","UTC","63437deb-4d01-44f1-a4c7-a4558e296e6b","False","2","50:6b:8d:40:52:54","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.70"
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-144002","1","1","off","UTC","70040f2d-fd8b-420d-8954-a86cec6ff1b5","False","1","","","",""
"","","","True","False","CentOs 6.9 base","0","3766ce2c-92bd-4274-9b9f-9e35c35fae24","2048","xREST-1","1","2","on","UTC","83995a33-ae89-40b1-8840-fae006a29dd5","False","2","50:6b:8d:ed:4d:b0","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.66"
"","","","True","False","","0","","2048","xCOS69-x000","1","2","off","UTC","9f8279ca-86b3-438d-bcb6-cae0116c8f7d","False","1","","","",""
"","","","True","False","","0","3766ce2c-92bd-4274-9b9f-9e35c35fae24","1024","KN-test01","1","1","on","UTC","a2cf8622-5036-4dad-b298-fb7eb279584a","False","2","","","",""
"","","","True","False","CentOs 6.9 base","0","3766ce2c-92bd-4274-9b9f-9e35c35fae24","2048","xREST-5","1","2","on","UTC","c0df332e-13fe-4c95-acb4-e8101380c314","False","2","50:6b:8d:e6:7d:95","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.71"
"","","","True","False","CentOs 6.9 base","0","2d06d543-438c-4b33-8500-bf6a930a1d69","2048","xREST-3","1","2","on","UTC","c185dd06-faae-44c2-9829-4bfb62bac4cf","False","2","50:6b:8d:42:fc:c9","8cb14e47-363b-4567-80ed-c8943f0f7d6e","","172.16.251.69"
"","","","True","False","","0","","1024","KN-clone-KN-test01-171121-143911","1","1","off","UTC","c5731c03-91fe-4b41-b099-154d4db69783","False","1","","","",""
